,precision,recall,f1-score,support
Normal,0.8923357664233577,0.9072356215213359,0.8997240110395585,539.0
Viral,0.9885496183206107,0.9829222011385199,0.9857278782112274,527.0
COVID-19,0.9681647940074907,0.9538745387453874,0.9609665427509294,542.0
Lung_Opacity,0.9007782101167315,0.904296875,0.9025341130604289,512.0
accuracy,0.9372641509433962,0.9372641509433962,0.9372641509433962,0.9372641509433962
macro avg,0.9374570972170476,0.9370823091013107,0.937238136265536,2120.0
weighted avg,0.9376784853249897,0.9372641509433962,0.9374392291630104,2120.0
