,precision,recall,f1-score,support
Normal,0.9194139194139194,0.9279112754158965,0.9236430542778288,541.0
Viral,0.9882352941176471,0.9673704414587332,0.9776915615906886,521.0
COVID-19,0.9692898272552783,0.9980237154150198,0.9834469328140214,506.0
Lung_Opacity,0.9502762430939227,0.9347826086956522,0.9424657534246575,552.0
accuracy,0.9561320754716981,0.9561320754716981,0.9561320754716981,0.9561320754716981
macro avg,0.9568038209701919,0.9570220102463254,0.9568118255267991,2120.0
weighted avg,0.9562672912345475,0.9561320754716981,0.9561006791732829,2120.0
