Model,CPU TOTAL TIME,GPU TOTAL TIME,CPU MEM MIN,CPU MEM MAX,GPU MEM MIN,GPU MEM MAX,TOTAL CALLS,PARAMS
resnet18,3634.324470000001,13495.846513441562,0.0,0.0,0.0,33241600.0,21240,11178564
densenet,16874.677861,37584.26235897684,0.0,0.0,0.0,33245520.0,129564,6957956
resnet50,7697.7087520000005,32740.885957575803,0.0,0.0,0.0,33241600.0,56640,23639428
alexnet,1162.0769970000001,4344.110719328402,0.0,0.0,0.0,16492406.5,7434,44421956
mobilenet,7094.413778,8622.121180920125,0.0,0.0,0.0,9355800.0,47436,1521956
googlenet,7575.347516000002,17094.640706502916,0.0,0.0,0.0,33672187.5,46020,5604004
vgg19,2539.930923,43787.94208392429,0.0,0.0,0.0,107198269.0,15930,143683628
