,precision,recall,f1-score,support
Normal,0.9342806394316163,0.9581056466302368,0.946043165467626,549.0
Viral,0.9883040935672515,0.9883040935672515,0.9883040935672515,513.0
COVID-19,0.9921259842519685,0.9940828402366864,0.9931034482758622,507.0
Lung_Opacity,0.9589552238805971,0.9328493647912885,0.9457221711131556,551.0
accuracy,0.9674528301886792,0.9674528301886792,0.9674528301886792,0.9674528301886792
macro avg,0.9684164852828584,0.9683354863063658,0.9682932196059738,2120.0
weighted avg,0.9676001289726012,0.9674528301886792,0.9674405954721405,2120.0
