,precision,recall,f1-score,support
Normal,0.9372549019607843,0.9157088122605364,0.9263565891472868,522.0
Viral,0.9906367041198502,0.9724264705882353,0.9814471243042672,544.0
COVID-19,0.9631782945736435,0.980276134122288,0.9716520039100686,507.0
Lung_Opacity,0.9357142857142857,0.9579524680073126,0.9467028003613369,547.0
accuracy,0.9566037735849057,0.9566037735849057,0.9566037735849057,0.9566037735849057
macro avg,0.9566960465921408,0.956590971244593,0.9565396294307399,2120.0
weighted avg,0.956754969575132,0.9566037735849057,0.956575175913425,2120.0
