,Accuracy,F1 Score,Number of Images
resnet18,0.9556603773584905,0.9555530467269979,2124
densenet,0.9688679245283018,0.9688280908341089,2124
resnet50,0.9490566037735849,0.9491835295379789,2124
alexnet,0.9419811320754717,0.9418977496122959,2124
googlenet,0.9561320754716981,0.9558449974641394,2124
vgg19,0.95,0.949736347831432,2124
