,precision,recall,f1-score,support
Normal,0.8872987477638641,0.9520153550863724,0.9185185185185185,521.0
Viral,0.9943181818181818,0.9776536312849162,0.9859154929577464,537.0
COVID-19,0.982791586998088,0.967984934086629,0.9753320683111955,531.0
Lung_Opacity,0.9490196078431372,0.911487758945386,0.9298751200768491,531.0
accuracy,0.9523584905660377,0.9523584905660377,0.9523584905660377,0.9523584905660377
macro avg,0.9533570311058177,0.9522854198508259,0.9524102999660773,2120.0
weighted avg,0.9537845545669941,0.9523584905660377,0.9526649928775989,2120.0
