,precision,recall,f1-score,support
Normal,0.899488926746167,0.9530685920577617,0.9255039439088519,554.0
Viral,0.9858012170385395,0.9818181818181818,0.9838056680161943,495.0
COVID-19,0.9833024118738405,0.977859778597786,0.9805735430157262,542.0
Lung_Opacity,0.9560878243512974,0.9054820415879017,0.9300970873786408,529.0
accuracy,0.9542452830188679,0.9542452830188679,0.9542452830188679,0.9542452830188679
macro avg,0.9561700950024612,0.9545571485154077,0.9549950605798533,2120.0
weighted avg,0.9551928463060904,0.9542452830188679,0.9543420802506343,2120.0
