,precision,recall,f1-score,support
Normal,0.90625,0.9188118811881189,0.912487708947886,505.0
Viral,0.9888682745825603,0.9779816513761468,0.9833948339483396,545.0
COVID-19,0.9745454545454545,0.9781021897810219,0.97632058287796,548.0
Lung_Opacity,0.9344894026974951,0.9291187739463601,0.9317963496637848,522.0
accuracy,0.9518867924528301,0.9518867924528301,0.9518867924528301,0.9518867924528301
macro avg,0.9510382829563775,0.951003624072912,0.9509998688594926,2120.0
weighted avg,0.9520961495030646,0.9518867924528301,0.9519706846519553,2120.0
