MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
bn2,16.38067400000002,ms,48.78744300000009,ms,17.614336093902587,ms,48.33968002319336,ms,0.0,kb,0.0,kb,568120.0,kb,2840600.0,kb,354
conv1,22.368835999999998,ms,81.12616800000005,ms,173.2030399465561,ms,683.6970231399536,ms,0.0,kb,0.0,kb,207760.0,kb,1765078.0,kb,354
bn1,16.495182999999997,ms,49.37972200000001,ms,17.250176120758056,ms,47.28060778999328,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
relu,15.580917999999985,ms,21.73198599999999,ms,15.3999680185318,ms,22.879808045387268,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,21.886104,ms,79.52172699999994,ms,251.23593502998352,ms,995.856956454277,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354
bn2,16.836346000000002,ms,50.94328600000001,ms,17.740416175842284,ms,48.76854404258728,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
0,21.324621,ms,77.14541899999989,ms,38.06444815635681,ms,143.3728963623047,ms,0.0,kb,0.0,kb,207760.0,kb,831217.0,kb,354
1,16.405094999999985,ms,49.13871500000015,ms,17.08960011482239,ms,46.86633598518372,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
conv1,21.682453999999964,ms,78.39848,ms,251.64534443092347,ms,997.5037409811019,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354
bn1,17.020366999999965,ms,51.435230000000004,ms,17.89283208656311,ms,49.20435180091858,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
relu,15.679548000000008,ms,21.811451999999978,ms,15.497344032764435,ms,23.007712005138398,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,21.628541000000013,ms,78.17269300000001,ms,250.6466538772583,ms,993.4907807779313,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354
bn2,16.627983000000008,ms,49.950328999999975,ms,17.522560127258302,ms,48.137567924499514,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
avgpool,12.086499,ms,23.950787999999996,ms,14.83785604095459,ms,27.954240032196044,ms,0.0,kb,0.0,kb,4240.0,kb,12720.0,kb,354
fc,24.353233999999972,ms,50.94813900000004,ms,24.8417598733902,ms,44.306655821800234,ms,0.0,kb,0.0,kb,177.0,kb,531.0,kb,354
