Model,TotalCPUTime,TotalGPUTime,Total Number of Calls,Avg CPI Time per Module,Avg CPI Time per Module
ResNet,3488.466416000001,13412.807768593308,21240,0.6314881246983667,0.6314881246983667
DenseNet,16336.960454000002,37157.264353290084,129564,0.2867869497182094,0.2867869497182094
