MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
norm2,16.240210999999984,ms,48.49555899999993,ms,37.22636803817749,ms,107.26764856338501,ms,0.0,kb,0.0,kb,3419980.0,kb,17099900.0,kb,354
relu2,7.847259000000011,ms,11.001797000000007,ms,23.95881634092331,ms,44.63350452566147,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.712225000000053,ms,78.75970299999992,ms,116.69839893245697,ms,457.821472448349,ms,0.0,kb,0.0,kb,877782.0,kb,3652905.0,kb,354
norm,16.156287999999996,ms,48.58521600000016,ms,58.793631858825684,ms,172.019680021286,ms,0.0,kb,0.0,kb,6650327.0,kb,33251635.0,kb,354
relu,7.868300000000003,ms,11.047147000000004,ms,41.734751596450806,ms,80.14499179649353,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv,21.152753999999998,ms,76.56346699999982,ms,134.3050885362625,ms,528.2183372039794,ms,0.0,kb,0.0,kb,3422750.0,kb,13697549.0,kb,354
pool,9.561197000000009,ms,11.592767000000014,ms,34.68291213989258,ms,34.68291213989258,ms,0.0,kb,0.0,kb,839786.0,kb,1679572.0,kb,354
norm1,16.06344600000001,ms,47.83498999999997,ms,21.10223999595642,ms,58.84998418235779,ms,0.0,kb,0.0,kb,848660.0,kb,4243300.0,kb,354
relu1,7.9462460000000075,ms,11.153706999999995,ms,8.63644798898697,ms,13.938304040431976,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,20.860425000000035,ms,75.18756699999996,ms,41.129056079864505,ms,155.4180795021057,ms,0.0,kb,0.0,kb,855388.0,kb,3423317.0,kb,354
norm2,16.030968000000023,ms,47.77548599999987,ms,19.43081629371643,ms,53.87001660728455,ms,0.0,kb,0.0,kb,876617.0,kb,4383085.0,kb,354
relu2,8.07359299999999,ms,11.290355999999992,ms,8.808223970413207,ms,14.163232006072999,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.656129999999997,ms,78.40729099999996,ms,57.00959972572327,ms,218.90857597351075,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,15.972573999999987,ms,47.574057000000074,ms,22.82601589393616,ms,63.985087797164915,ms,0.0,kb,0.0,kb,1052246.0,kb,5261230.0,kb,354
relu1,7.974154999999996,ms,11.200927999999983,ms,9.917472181797027,ms,16.502496200084686,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
