,precision,recall,f1-score,support
Normal,0.8956043956043956,0.9243856332703214,0.9097674418604651,529.0
Viral,0.990234375,0.9657142857142857,0.9778206364513019,525.0
COVID-19,0.996039603960396,0.9921104536489151,0.9940711462450592,507.0
Lung_Opacity,0.9371633752244165,0.9338103756708408,0.935483870967742,559.0
accuracy,0.9533018867924529,0.9533018867924529,0.9533018867924529,0.9533018867924529
macro avg,0.954760437447302,0.9540051870760908,0.954285773881142,2120.0
weighted avg,0.9540161217491014,0.9533018867924529,0.9535624367444964,2120.0
