,precision,recall,f1-score,support
Normal,0.9357976653696498,0.9075471698113208,0.9214559386973179,530.0
Viral,0.9902912621359223,0.9826589595375722,0.9864603481624757,519.0
COVID-19,0.9944444444444445,0.9871323529411765,0.9907749077490774,544.0
Lung_Opacity,0.9147005444646098,0.9563567362428842,0.9350649350649349,527.0
accuracy,0.9584905660377359,0.9584905660377359,0.9584905660377359,0.9584905660377359
macro avg,0.9588084791036565,0.9584238046332385,0.9584390324184515,2120.0
weighted avg,0.9589428737759835,0.9584905660377359,0.9585402541512369,2120.0
