,precision,recall,f1-score,support
Normal,0.9080234833659491,0.9567010309278351,0.931726907630522,485.0
Viral,0.9865125240847784,0.9865125240847784,0.9865125240847784,519.0
COVID-19,0.9964028776978417,0.9946140035906643,0.995507637017071,557.0
Lung_Opacity,0.9625468164794008,0.9194991055456172,0.9405306495882891,559.0
accuracy,0.9641509433962264,0.9641509433962264,0.9641509433962264,0.9641509433962264
macro avg,0.9633714254069925,0.9643316660372238,0.9635694295801652,2120.0
weighted avg,0.9648355956236643,0.9641509433962264,0.9642178948769647,2120.0
