,precision,recall,f1-score,support
Normal,0.9178321678321678,0.9210526315789473,0.9194395796847635,570.0
Viral,0.9850467289719627,0.9868913857677902,0.9859681945743686,534.0
COVID-19,0.9552529182879378,0.9665354330708661,0.9608610567514677,508.0
Lung_Opacity,0.9218436873747495,0.905511811023622,0.913604766633565,508.0
accuracy,0.944811320754717,0.944811320754717,0.944811320754717,0.944811320754717
macro avg,0.9449938756167044,0.9449978153603065,0.9449683994110412,2120.0
weighted avg,0.9446907380245325,0.944811320754717,0.9447246295295398,2120.0
