,Accuracy,F1 Score,Number of Images
resnet18,0.9561320754716981,0.9561634717701131,2124
densenet,0.9693396226415094,0.9693511894014626,2124
resnet50,0.9433962264150944,0.9434700376689713,2124
alexnet,0.9377358490566038,0.9375111292578819,2124
googlenet,0.9613207547169811,0.960965168977808,2124
vgg19,0.9542452830188679,0.9541484857871015,2124
