,precision,recall,f1-score,support
Normal,0.9278752436647173,0.9425742574257425,0.9351669941060904,505.0
Viral,0.9962121212121212,0.9704797047970479,0.983177570093458,542.0
COVID-19,0.9653846153846154,0.996031746031746,0.98046875,504.0
Lung_Opacity,0.9534883720930233,0.9367311072056239,0.9450354609929079,569.0
accuracy,0.9608490566037736,0.9608490566037736,0.9608490566037736,0.9608490566037736
macro avg,0.9607400880886193,0.9614542038650401,0.9609621937981141,2120.0
weighted avg,0.9611380649162399,0.9608490566037736,0.960859906754337,2120.0
