,precision,recall,f1-score,support
Normal,0.9220103986135182,0.9672727272727273,0.9440993788819876,550.0
Viral,0.9835766423357665,0.9908088235294118,0.9871794871794872,544.0
COVID-19,0.99800796812749,0.9901185770750988,0.9940476190476191,506.0
Lung_Opacity,0.9695740365111561,0.9192307692307692,0.943731490621915,520.0
accuracy,0.9669811320754716,0.9669811320754716,0.9669811320754716,0.9669811320754716
macro avg,0.9682922613969827,0.9668577242770017,0.9672644939327522,2120.0
weighted avg,0.9676141243049071,0.9669811320754716,0.9669852687604835,2120.0
