,precision,recall,f1-score,support
Normal,0.9183266932270916,0.9021526418786693,0.910167818361303,511.0
Viral,0.9924242424242424,0.9776119402985075,0.9849624060150376,536.0
COVID-19,0.9723247232472325,0.9850467289719627,0.978644382544104,535.0
Lung_Opacity,0.9233576642335767,0.9405204460966543,0.9318600368324126,538.0
accuracy,0.9518867924528301,0.9518867924528301,0.9518867924528301,0.9518867924528301
macro avg,0.9516083307830359,0.9513329393114485,0.9514086609382143,2120.0
weighted avg,0.9519643794685714,0.9518867924528301,0.9518637024922735,2120.0
