MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
norm2,16.575070999999973,ms,49.47628800000012,ms,37.24972799491882,ms,107.29372840309144,ms,0.0,kb,0.0,kb,3424177.0,kb,17120885.0,kb,354
relu2,8.057539000000004,ms,11.313278999999994,ms,24.11360032606125,ms,44.89078445672989,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,22.132499000000028,ms,80.17268600000013,ms,116.93299166584015,ms,458.67577770709994,ms,0.0,kb,0.0,kb,856956.0,kb,3569601.0,kb,354
norm,16.508554999999976,ms,49.579739999999994,ms,58.51724816703796,ms,171.16012822914124,ms,0.0,kb,0.0,kb,6649104.0,kb,33245520.0,kb,354
relu,8.079294000000013,ms,11.309885000000012,ms,41.78463955688476,ms,80.25836764812469,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv,21.77065899999996,ms,78.76411999999989,ms,134.63932856559754,ms,529.427937584877,ms,0.0,kb,0.0,kb,3483165.0,kb,13939209.0,kb,354
pool,9.83036399999999,ms,11.939516999999995,ms,34.901887939453125,ms,34.901887939453125,ms,0.0,kb,0.0,kb,841072.0,kb,1682144.0,kb,354
norm1,16.42802600000002,ms,48.74116299999998,ms,21.262335956573487,ms,59.28313636779785,ms,0.0,kb,0.0,kb,852804.0,kb,4264020.0,kb,354
relu1,8.092274000000007,ms,11.323711999999992,ms,8.692095971107483,ms,14.050592009544372,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.428026000000028,ms,77.13115499999995,ms,41.495103776931764,ms,156.76652693176268,ms,0.0,kb,0.0,kb,854613.0,kb,3420217.0,kb,354
norm2,16.599187000000008,ms,49.438366999999985,ms,19.77766419219971,ms,54.85769655036926,ms,0.0,kb,0.0,kb,857604.5,kb,4288022.5,kb,354
relu2,8.212099999999998,ms,11.431909999999997,ms,8.832799992561341,ms,14.18444801235199,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,22.11446400000001,ms,79.98040499999999,ms,57.342399443626405,ms,220.2525755176544,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.18079899999999,ms,48.21230700000012,ms,22.840479976654052,ms,64.07263945007324,ms,0.0,kb,0.0,kb,1056684.0,kb,5283420.0,kb,354
relu1,8.049065,ms,11.272056999999993,ms,9.913472133636475,ms,16.51027214431763,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.127256000000003,ms,76.13373799999995,ms,46.04911943817139,ms,175.17347249126433,ms,0.0,kb,0.0,kb,849888.0,kb,3401317.0,kb,354
norm2,16.41632400000001,ms,48.962313000000016,ms,19.721216123580934,ms,54.76614443397522,ms,0.0,kb,0.0,kb,845423.0,kb,4227115.0,kb,354
relu2,8.083161,ms,11.34446000000001,ms,8.699231982707976,ms,14.079520008563996,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.935916999999975,ms,79.47653000000001,ms,57.26211164665222,ms,220.03308782863616,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.334934999999987,ms,48.829668000000105,ms,24.368767988204954,ms,68.65139181900024,ms,0.0,kb,0.0,kb,1265250.0,kb,6326250.0,kb,354
relu1,7.997761000000006,ms,11.20399700000001,ms,11.777088066101074,ms,20.272896039009094,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.457879000000016,ms,77.24282100000002,ms,50.58144016742706,ms,193.11475423431398,ms,0.0,kb,0.0,kb,862411.0,kb,3451409.0,kb,354
norm2,16.455481999999975,ms,49.01660999999995,ms,19.974464263916015,ms,55.449920583724975,ms,0.0,kb,0.0,kb,867957.0,kb,4339785.0,kb,354
relu2,8.050189999999997,ms,11.264888999999984,ms,8.68403195810318,ms,14.041856019496917,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.75958799999998,ms,78.546351,ms,57.054079656600955,ms,219.09292787361144,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.293665000000036,ms,48.386796999999945,ms,25.892575979232788,ms,73.25628809165954,ms,0.0,kb,0.0,kb,1478404.0,kb,7392020.0,kb,354
relu1,7.9876249999999995,ms,11.19199300000001,ms,13.764256048679352,ms,24.262463991641997,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.158546000000026,ms,76.28083899999996,ms,54.89414378070831,ms,210.5494391450882,ms,0.0,kb,0.0,kb,878944.0,kb,3517541.0,kb,354
norm2,16.53451999999996,ms,49.29162599999986,ms,20.130912248611452,ms,55.94163238334656,ms,0.0,kb,0.0,kb,878647.0,kb,4393235.0,kb,354
relu2,8.026720999999998,ms,11.253555000000004,ms,8.646367991447448,ms,14.012864029884339,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.775023999999995,ms,78.61905299999982,ms,57.09177602005005,ms,219.3336960992813,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.16170500000004,ms,48.20928000000001,ms,27.442784122467042,ms,78.04368034172059,ms,0.0,kb,0.0,kb,1670237.0,kb,8351185.0,kb,354
relu1,8.052924000000006,ms,11.299973000000007,ms,15.205983935832977,ms,27.118752038478853,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
